a	@
innumerable	I`nj}:m@r\@b@l
inoculate	I`nOkj@l{It
inquest	`INkwest
inquire	IN`kwAe@
inquisitive	IN`kwIz@tIv
insane	In`s{In
insect	`Insekt
insecticide	In`sekt@sAed
insecure	Ins@`kj}:@
insensitive	In`sens@tIv
insert	In`s3:t
inside	In`sAed
insinuate	In`sInj}:{It
insipid	In`sIp@d
insist	In`sIst
insolent	`Ins@l@nt
inspect	In`spekt
inspire	In`spAe@
install	In`sto:l
instalment	In`sto:lm@nt
instance	`Inst@ns
instant	`Inst@nt
instead	In`sted
instinct	`InstINkt
institute	`Inst@tS}:t
institution	Inst@`tj}:S@n
instruct	In`str\6kt
instruction	In`str\6kS@n
instrument	`Instr\@m@nt
insubordinate	Ins@`bo:d@n@t
insubstantial	Ins@b`st{nS@l
insufferable	In`s6f@r\@b@l
insulate	`InS@l{It
insulin	`InS@l@n
insult	In`s6lt
insure	In`So:
intact	In`t{kt
integral	`Int@gr\@l
integrate	`Int@gr\{It
integrity	In`tegr\@ti:
intellect	`Int@lekt
intelligence	In`tel@dZ@ns
intelligent	In`tel@dZ@nt
intend	In`tend
intense	In`tens
intensive	In`tensIv
intention	In`tenS@n
interact	Int@r\`{kt
intercept	Int@`sept
intercourse	`Int@ko:s
interest	`Intr\@st
interesting	`Intr\@stIN
interfere	Int@`fI@
interim	`Int@r\@m
interior	In`tI@r\i:@
interjection	Int@`dZekS@n
interlude	`Int@l}:d
intermediate	Int@`mi:di:@t
intermission	Int@`mIS@n
intermittent	Int@`mIt@nt
internal	In`t3:n@l
international	Int@`n{S@n@l
interpret	In`t3:pr\@t
interrogate	In`ter\@g{It
interrogative	Int@`r\Og@tIv
interrupt	Int@`r\6pt
intersection	`Int@`sekS@n
interstate	`Int@st{It
interval	`Int@v@l
intervene	Int@`vi:n
interview	`Int@vj}:
intestine	In`test@n
intimate	`Int@m@t
intimidate	In`tIm@d{It
into	`Int}:
intonation	Int@`n{IS@n
intoxicated	In`tOks@k{It@d
intransitive	In`tr\{nz@tIv
intravenous	Intr\@`vi:n@s
intrigue	In`tr\i:g
introduce	Intr\@`dj}:s
introduction	Intr\@`d6kS@n
intrude	In`tr\}:d
intuition	IntS}:`IS@n
invade	In`v{Id
invalid	In`v{l@d
invaluable	In`v{lj@b@l
invent	In`vent
invest	In`vest
investigate	In`vest@g{It
invigorate	In`vIg@r\{It
invisible	In`vIz@b@l
invite	In`vAet
invoice	`InvoIs
involve	In`vOlv
involved	In`vOlvd
IOU	Ae@}`j}:
irate	Ae`r\{It
iris	`Aer\@s
irk	3:k
iron	`Ae@n
irony	`Aer\@ni:
irrational	I`r\{S@n@l
irregular	I`r\egj@l@
irrelevant	I`r\el@v@nt
irrigate	`Ir\@g{It
irritate	`Ir\@t{It
is	Iz
Islam	`Izl{m
island	`Ael@nd
isn't	Iz@nt
isolate	`Aes@l{It
issue	`IS}:
it	It
it's	Its
Italian	@`t{lj@n
italics	I`t{lIks
itch	ItS
itches	ItS@z
item	`Aet@m
itinerary	Ae`tIn@r\i:
its	Its
itself	It`self
Ive	Aev
ivy	`Aevi:
J	dZ{I
j	dZ{I
jab	dZ{b
jabber	`dZ{b@
jabiru	dZ{b@`r\}:
jack	dZ{k
jackeroo	dZ{k@`r\}:
jacket	`dZ{k@t
jackknife	`dZ{knAef
jackpot	`dZ{kpOt
jade	dZ{Id
jaded	`dZ{Id@d
jagged	`dZ{g@d
jail	dZ{Il
jam	dZ{m
jamb	dZ{m
Jan.	`dZ{nj@r\i:
jangle	`dZ{Ng@l
January	`dZ{nj@r\i:
Japanese	dZ{p@`ni:z
jar	dZ6:
jargon	`dZ6:g@n
jarrah	`dZ{r\@
jaundice	`dZo:nd@s
jaunt	dZo:nt
jaunty	`dZo:nti:
javelin	`dZ{v@l@n
jaw	dZo:
jaywalk	`dZ{Iwo:k
jazz	dZ{z
jealous	`dZel@s
jeans	dZi:nz
jeep	dZi:p
jeer	dZI@
Jeff's	dZefs
jelly	`dZeli:
jellyfish	`dZeli:fIS
jeopardy	`dZep@di:
jerk	dZ3:k
jersey	`dZ3:zi:
jet	dZet
jettison	`dZet@s@n
jetty	`dZeti:
jewel	`dZ}:@l
jewellery	`dZ}:@lr\i:
Jewish	`dZ}:IS
jibe	dZAeb
jiffy	`dZIfi:
jig	dZIg
jiggle	`dZIg@l
jigsaw	`dZIgso:
jillaroo	`dZIl@r\}:
jilt	dZIlt
jingle	`dZINg@l
jinx	dZINks
jitters	`dZIt@z
jive	dZAev
jnr	`dZ}:nj@
job	dZOb
jobless	`dZObl@s
jockey	`dZOki:
jocular	`dZOkj@l@
jodhpurs	`dZOdp@z
joey	`dZ@}i:
jog	dZOg
John	dZOn
join	dZoIn
joiner	`dZoIn@
joint	dZoInt
joist	dZoIst
joke	dZ@}k
joker	`dZ@}k@
jokes	dZ@}ks
jolly	`dZOli:
jolt	dZ@}lt
jostle	`dZOs@l
jot	dZOt
jotter	`dZOt@
joule	dZ}:l
journal	`dZ3:n@l
journalist	`dZ3:n@l@st
journey	`dZ3:ni:
jovial	`dZ@}vi:@l
joy	dZoI
JP	dZ{I`pi:
jube	dZ}:b
jubilant	`dZ}:b@l@nt
jubilee	dZ}:b@`li:
Judaism	`dZ}:d{IIz@m
judge	dZ6dZ
judgment	`dZ6dZm@nt
judicial	dZ}:`dIS@l
judicious	dZ}:`dIS@s
Judith	dZ}:d@T
judo	`dZ}:d@}
jug	dZ6g
juggle	`dZ6g@l
juice	dZ}:s
jukebox	`dZ}:kbOks
Jul.	dZ@`lAe
July	dZ@`lAe
jumble	`dZ6mb@l
jumbo	`dZ6mb@}
jumbuck	`dZ6mb6k
jump	dZ6mp
jumper	`dZ6mp@
jumpy	`dZ6mpi:
Jun.	dZ}:n
junction	`dZ6NkS@n
juncture	`dZ6NktS@
June	dZ}:n
jungle	`dZ6Ng@l
junior	`dZ}:nj@
junk	dZ6Nk
junkie	`dZ6Nki:
junta	`dZ6nt@
jurisdiction	dZ}:r\@s`dIkS@n
jury	`dZ}:r\i:
just	dZ6st
justice	`dZ6st@s
justify	`dZ6st@fAe
jut	dZ6t
jute	dZ}:t
juvenile	`dZ}:v@nAel
juxtapose	dZ6kst@`p@}z
K	k{I
k	k{I
kaleidoscope	k@`lAed@sk@}p
kangaroo	k{Ng@`r\}:
karate	k@`r\6:ti:
kayak	`kAe{k
kazoo	k@z}:
kebab	k@`b{b
keel	ki:l
keen	ki:n
keep	ki:p
keeper	`ki:p@
keeping	`ki:pIN
keepsake	`ki:ps{Ik
keg	keg
kelp	kelp
kennel	`ken@l
kept	kept
kerb	k3:b
kernel	`k3:n@l
kero	`ker\@}
kerosene	ker\@`si:n
ketchup	`ketS@p
kettle	`ket@l
key	ki:
keyboard	`ki:bo:d
keynote	`ki:n@}t
kg	k{I`dZi:
khaki	k6:`ki:
Khmer	k@`me:
kibble	`kIb@l
kick	kIk
kid	kId
kidnap	`kIdn{p
kidney	`kIdni:
kill	kIl
killing	`kIlIN
kiln	kIln
kilo	`ki:l@}
kilobyte	`kIl@bAet
kilogram	`kIl@gr\{m
kilohertz	`kIl@h3:ts
kilojoule	`kIl@dZ}:l
kilometre	k@`lOm@t@
kilowatt	`kIl@wOt
kilt	kIlt
kimono	`kIm@n@}
kin	kIn
kind	kAend
kindergarten	`kInd@g6:t@n
kindle	`kInd@l
kindling	`kIndlIN
kindly	`kAendli:
kindred	`kIndr\@d
kindy	`kIndi:
king	kIN
kingdom	`kINd@m
kink	kINk
kinship	`kInSIp
kiosk	`ki:Osk
kiss	kIs
kit	kIt
kitchen	`kItS@n
kitchenette	kItS@`net
kite	kAet
kitsch	kItS
kitten	`kIt@n
kiwi	`ki:wi:
kJ	`kIl@dZ}:l
kleptomania	klept@`m{Ini:@
km	k@`lOm@t@
knack	n{k
knackered	`n{k@d
knapsack	`n{ps{k
knave	n{Iv
knead	ni:d
knee	ni:
kneecap	`ni:k{p
kneel	ni:l
knew	nj}:
knick-knack	`nIkn{k
knickers	`nIk@z
knife	nAef
knight	nAet
knit	nIt
knitting	`nItIN
knob	nOb
knock	nOk
knot	nOt
know	n@}
knowing	`n@}IN
knowledge	`nOlIdZ
known	n@}n
knuckle	`n6k@l
KO	k{I`@}
koala	k@}`6:l@
kookaburra	`kUk@b6r\@
Korean	k@`r\i:@n
kosher	`k@}S@
kung-fu	k6N`f}:
L	el
l	el
L-plate	`elpl{It
La	l{In
label	`l{Ib@l
Labor	`l{Ib@
laboratory	l@`bOr\@tr\i:
labour	`l{Ib@
lace	l{Is
lacerate	`l{s@r\{It
lack	l{k
lacquer	`l{k@
lad	l{d
ladder	`l{d@
lady	`l{Idi:
lag	l{g
lager	`l6:g@
lagoon	l@`g}:n
laid	l{Id
lake	l{Ik
lamb	l{m
lame	l{Im
laminate	`l{m@n{It
lamington	`l{mINt@n
land	l{nd
landed	l{nd@d
landlady	`l{ndl{Idi:
landlord	`l{ndlo:d
landmark	`l{ndm6:k
landscape	`l{ndsk{Ip
landslide	`l{ndslAed
lane	l{In
language	`l{NgwIdZ
lank	l{Nk
lanky	`l{Nki:
lantern	`l{nt@n
Lao	l{O
lap	l{p
lapse	l{ps
large	l6:dZ
larrikin	`l{r\@k@n
laryngitis	l{r\@n`dZAet@s
larynx	`l{r\INks
laser	`l{Iz@
lash	l{S
last	l6:st
latch	l{tS
late	l{It
lately	`l{Itli:
later	`l{It@
latest	`l{It@st
lather	`l{D@
Latin	`l{t@n
latitude	`l{t@tS}:d
latter	`l{t@
lattice	`l{t@s
laugh	l6:f
launch	lo:ntS
laundromat	`lo:ndr\@m{t
laundry	`lo:ndr\i:
lavatory	`l{v@tr\i:
lavender	`l{v@nd@
lavish	`l{vIS
law	lo:
lawful	`lo:f@l
lawn	lo:n
lawnmower	`lo:nm@}@
lawyer	`loI@
lax	l{ks
laxative	`l{ks@tIv
lay	l{I
lay-by	`l{IbAe
layer	`l{I@
layout	`l{I{Ot
lazy	`l{Izi:
lead	li:d
leader	`li:d@
leaf	li:f
league	li:g
leak	li:k
lean	li:n
leant	lent
leap	li:p
leapt	lept
learn	l3:n
lease	li:s
leash	li:S
least	li:st
leather	`leD@
leave	li:v
lecture	`lektS@
led	led
ledge	ledZ
ledger	`ledZ@
leer	lI@
left	left
left-handed	left`h{nd@d
leg	leg
legal	`li:g@l
legend	`ledZ@nd
leggings	`legINz
legible	`ledZ@b@l
legislation	ledZ@`sl{IS@n
legitimate	l@`dZIt@m@t
leisure	`leZ@
lemon	`lem@n
lemonade	lem@n`{Id
lend	lend
length	leNT
lengthen	`leNT@n
lenient	`li:ni:@nt
lens	lenz
lent	lent
leotard	`li:@t6:d
lesbian	`lezbi:@n
less	les
lessen	`les@n
lesson	`les@n
let	let
let's	lets
lethal	`li:T@l
lethargic	l@T6:dZIk
letter	`let@
leukaemia	l}:`ki:mi:@
level	`lev@l
lever	`li:v@
levy	`levi:
liability	lAe@`bIl@ti:
liable	`lAe@b@l
liaison	li:`{Iz@n
liar	`lAe@
libel	`lAeb@l
liberal	`lIbr\@l
liberate	`lIb@r\{It
liberty	`lIb@ti:
library	`lAebr\i:
lice	lAes
licence	`lAes@ns
lick	lIk
licorice	`lIk@r\IS
lid	lId
lie	lAe
life	lAef
lifelong	`lAeflON
lifesaver	`lAefs{Iv@
lifetime	`lAeftAem
lift	lIft
lifted	lIft@d
light	lAet
lighthouse	lAeth{Os
lightning	`lAetnIN
like	lAek
likely	`lAekli:
limb	lIm
lime	lAem
limelight	`lAemlAet
limestone	`lAemst@}n
limit	`lIm@t
limp	lImp
line	lAen
linen	`lIn@n
liner	`lAen@
linger	`lINg@
lingerie	`lOnZ@r\{I
linguistic	lIN`gwIstIk
liniment	`lIn@m@nt
lining	`lAenIN
link	lINk
linoleum	l@`n@}li:@m
lip	lIp
lipstick	`lIpstIk
liquefy	`lIkw@fAe
liqueur	l@`kj}:@
liquid	`lIkw@d
liquidate	`lIkw@d{It
liquor	`lIk@
lisp	lIsp
list	lIst
listen	`lIs@n
listless	`lIstl@s
lit	lIt
literal	`lItr\@l
literary	`lIt@r\@r\i:
literate	`lIt@r\@t
literature	`lItr\@tS@
litre	`li:t@
litter	`lIt@
litterbug	`lIt@b6g
little	`lIt@l
live	lIv
lived	lIvd
livelihood	`lAevli:hUd
lively	`lAevli:
liver	`lIv@
livestock	`lAevstOk
livid	`lIv@d
living	`lIvIN
lizard	`lIz@d
load	l@}d
loaf	l@}f
loam	l@}m
loan	l@}n
loath	l@}T
loathe	l@}D
lob	lOb
lobby	`lObi:
local	`l@}k@l
locate	l@}`k{It
location	l@}k{IS@n
lock	lOk
locker	`lOk@
locket	`lOk@t
locksmith	`lOksmIT
locomotive	l@}k@`m@}tIv
lodge	lOdZ
loft	lOft
lofty	`lOfti:
log	lOg
logical	`lOdZIk@l
loiter	`loIt@
lolly	`lOli:
lone	l@}n
lonely	`l@}nli:
long	lON
longitude	`lONg@tS}:d
look	lUk
looking	lUkIN
lookout	`lUk{Ot
loom	l}:m
loop	l}:p
loophole	`l}:ph@}l
loose	l}:s
loot	l}:t
lop	lOp
lopsided	lOp`sAed@d
lord	lo:d
lore	lo:
lorry	`lOr\i:
lose	l}:z
loss	lOs
lost	lOst
lot	lOt
lotion	`l@}S@n
lottery	`lOt@r\i:
lotto	`lOt@}
loud	l{Od
loudspeaker	l{Od`spi:k@
lounge	l{OndZ
louse	l{Os
lousy	`l{Ozi:
lout	l{Ot
love	l6v
lovely	`l6vli:
low	l@}
lower	`l@}@
loyal	`loI@l
lozenge	`lOz@ndZ
LPG	elpi:`dZi:
Ltd	`lIm@t@d
lubricate	`l}:br\@k{It
lucid	`l}:s@d
luck	l6k
lucrative	`l}:kr\@tIv
ludicrous	`l}:d@kr\@s
lug	l6g
luggage	`l6gIdZ
lukewarm	l}:k`wo:m
lull	l6l
lullaby	`l6l@bAe
luminous	`l}:m@n@s
lump	l6mp
lunar	`l}:n@
lunatic	`l}:n@tIk
lunch	l6ntS
lung	l6N
lunge	l6ndZ
lurch	l3:tS
lure	l}:@
lurgy	`l3:gi:
lurid	`l}:r\@d
lurk	l3:k
luscious	`l6S@s
lush	l6S
lust	l6st
luxuriant	l6g`Z}:r\i:@nt
luxury	`l6kS@r\i:
lying	lAeIN
lyrebird	`lAe@b3:d
M	em
m	em
macabre	m@`k6:b
macadamia	m{k@`d{Imi:@
macaroni	m{k@`r\@}ni:
Macedonian	m{s@`d@}ni:@n
machete	m@`Seti:
machine	m@`Si:n
machinery	m@`Si:n@r\i:
macho	`m{tS@}
mad	m{d
madam	`m{d@m
made	m{Id
magazine	m{g@`zi:n
maggot	`m{g@t
magic	`m{dZIk
magistrate	`m{dZ@str\{It
magnanimous	m{g`n{n@m@s
magnate	`m{gn{It
magnet	`m{gn@t
magnificent	m{g`nIf@s@nt
magnify	`m{gn@fAe
magnitude	`m{gn@tS}:d
magpie	`m{gpAe
maiden	`m{Id@n
mail	m{Il
maim	m{Im
main	m{In
mainland	`m{Inl{nd
mainstream	`m{Instr\i:m
maintain	m{In`t{In
maize	m{Iz
majesty	`m{dZ@sti:
major	`m{IdZ@
majority	m@`dZOr\@ti:
make	m{Ik
make-believe	`m{Ikb@li:v
make-up	`m{Ik6p
Mal	m{l
maladjusted	m{l@`dZ6st@d
malaria	m@`le:r\i:@
Malcolm	m{lk@m
male	m{Il
malevolent	m@`lev@l@nt
malformation	m{lfo:`m{IS@n
malice	`m{l@s
malign	m@`lAen
malignant	m@`lIgn@nt
malinger	m@`lINg@
mall	mo:l
malleable	`m{li:@b@l
mallee	`m{li:
mallet	`m{l@t
mallow	m{l@}
malnourished	`m{ln6r\ISt
malpractice	m{l`pr\{kt@s
malt	mOlt
maltreat	m{l`tr\i:t
mammal	`m{m@l
mammoth	`m{m@T
man	m{n
manage	`m{nIdZ
management	`m{nIdZm@nt
manager	`m{n@dZ@
manchester	`m{ntSest@
mandarin	`m{nd@r\@n
mandate	`m{nd{It
mandatory	`m{nd@tr\i:
mane	m{In
mange	m{IndZ
mangle	`m{Ng@l
mangrove	`m{Ngr\@}v
mania	`m{Ini:@
maniac	`m{Ini:{k
manicure	`m{n@kjU@
manifest	`m{n@fest
manifesto	m{n@`fest@}
manipulate	m@`nIpj@l{It
mankind	m{n`kAend
manly	`m{nli:
manner	`m{n@
mannerism	`m{n@r\Iz@m
manoeuvre	m@`n}:v@
manor	m{n@
mansion	`m{nS@n
manslaughter	`m{nslo:t@
manta	m{nt@
mantlepiece	`m{nt@lpi:s
manual	`m{nj}:@l
manufacture	m{nj@`f{ktS@
manure	m@`njU@
manuscript	`m{nj@skr\Ipt
manuscripts	m{nj@skr\Ipts
many	`meni:
map	m{p
marathon	`m{r\@TOn
marble	`m6:b@l
march	m6:tS
mare	me:
margarine	m6:dZ@`r\i:n
margin	`m6:dZ@n
marginal	`m6:dZ@n@l
marijuana	m{r\@`w6:n@
marina	m@`r\i:n@
marinate	`m{r\@n{It
marine	m@`r\i:n
marital	`m{r\@t@l
maritime	`m{r\@tAem
mark	m6:k
mark-up	`m6:k6p
market	`m6:k@t
marketing	`m6:k@tIN
marmalade	`m6:m@l{Id
maroon	m@`r\}:n
marquee	m6:`ki:
marriage	`m{r\IdZ
married	`m{r\i:d
marrow	`m{r\@}
marry	`m{r\i:
marsh	m6:S
marshal	`m6:S@l
marshmallow	m6:S`m{l@}
marsupial	m6:`sj}:pi:@l
martyr	`m6:t@
marvel	`m6:v@l
mascara	m{s`k6:r\@
mascot	`m{skOt
masculine	`m{skj@l@n
mash	m{S
mask	m6:sk
mason	`m{Is@n
masonry	`m{Is@nr\i:
masquerade	m{sk@`r\{Id
mass	m{s
massacre	`m{s@k@
massage	`m{s6:Z
massive	`m{sIv
mast	m6:st
mastectomy	m{s`tekt@mi:
master	`m6:st@
masterpiece	`m6:st@pi:s
masturbate	`m{st@b{It
mat	m{t
match	m{tS
mate	m{It
material	m@`tI@r\i:@l
materialise	m@`tI@r\i:@lAez
materialistic	m@tI@r\i:@`lIstIk
maternal	m@`t3:n@l
maternity	m@`t3:n@ti:
mathematics	m{T@`m{tIks
maths	m{Ts
matriarch	`m{Itr\i:6:k
matrimony	`m{tr\@m@ni:
matt	m{t
matter	`m{t@
mattress	`m{tr\@s
mature	m@`tSU@
maul	mo:l
mauve	m@}v
maverick	`m{v@r\Ik
maxim	`m{ks@m
maximum	`m{ks@m@m
May	m{I
may	m{I
maybe	`m{Ibi:
mayonnaise	m{I@`n{Iz
mayor	me:
maze	m{Iz
me	mi:
meagre	`mi:g@
meal	mi:l
mean	mi:n
meander	mi:`{nd@
means	mi:nz
meantime	`mi:ntAem
meanwhile	`mi:nwAel
measles	`mi:z@lz
measure	`meZ@
meat	mi:t
mechanic	m@`k{nIk
mechanical	m@`k{nIk@l
mechanics	m@`k{nIks
mechanise	`mek@nAez
mechanism	`mek@nIz@m
medal	`med@l
medallion	m@`d{lj@n
meddle	`med@l
media	`mi:di:@
median	`mi:di:@n
mediate	`mi:di:{It
medical	`medIk@l
Medicare	`medi:ke:
medicine	`med@s@n
mediocre	mi:di:`@}k@
meditate	`med@t{It
medium	`mi:di:@m
medley	`medli:
meek	mi:k
meet	mi:t
meeting	`mi:tIN
megabyte	`meg@bAet
megaphone	`meg@f@}n
Mel	mel
melancholy	`mel@nkOli:
melanoma	mel@`n@}m@
melba	melb@
Melbourne	melb@n
mellow	`mel@}
melodrama	`mel@dr\6:m@
melody	`mel@di:
melon	`mel@n
melt	melt
Melvin's	melv@nz
member	`memb@
membrane	`membr\{In
memento	m@`ment@}
memo	`mem@}
memoirs	`memw6:z
memorable	`memr\@b@l
memorial	m@`mo:r\i:@l
memorise	`mem@r\Aez
memory	`memr\i:
men	men
menace	`men@s
mend	mend
menial	`mi:ni:@l
menopause	`men@po:z
menstruate	`menstr\}:Aet
mental	`ment@l
mention	`menS@n
menu	`menj}:
mercenary	`m3:s@nr\i:
merchandise	`m3:tS@ndAes
mercury	`m3:kj@r\i:
mercy	`m3:si:
mere	mI@
merge	m3:dZ
meringue	m@`r\{N
merino	m@`r\i:n@}
merit	`mer\@t
mermaid	`m3:m{Id
merry	`mer\i:
merry-go-round	`mer\i:g@}r\{Ond
mesh	meS
mesmerise	`mezm@r\Aez
mess	mes
message	`mesIdZ
messenger	`mes@ndZ@
metabolism	m@`t{b@lIz@m
metal	`met@l
metamorphosis	met@`mo:f@s@s
metaphor	`met@fo:
meteor	`mi:ti:o:
meteorite	`mi:ti:@r\Aet
meteorologist	mi:ti:@`r\Ol@dZ@st
meter	`mi:t@
methadone	`meT@d@}n
methane	mi:T{In
metho	`meT@}
method	`meT@d
methodical	m@`TOdIk@l
methyl	meT@l
meticulous	m@`tIkj@l@s
metre	`mi:t@
metric	`metr\Ik
metropolitan	metr\@`pOl@t@n
mezzanine	`mez@ni:n
mice	mAes
microbe	`mAekr\@}b
microphone	`mAekr\@f@}n
microscope	`mAekr\@sk@}p
mid	mId
midday	`mIdd{I
middle	`mId@l
midget	`mIdZ@t
midnight	`mIdnAet
midriff	`mIdr\If
midwife	`mIdwAef
might	mAet
mighty	`mAeti:
migraine	`mAegr\{In
migrant	`mAegr\@nt
migrate	`mAegr\{It
mild	mAeld
mildew	`mIldj}:
mile	mAel
militant	`mIl@t@nt
military	`mIl@tr\i:
militia	m@`lIS@
milk	mIlk
milkshake	`mIlkS{Ik
mill	mIl
millennium	m@`leni:@m
miller	mIl@
millibar	`mIli:b6:
milligram	`mIl@gr\{m
millilitre	`mIl@li:t@
millimetre	`mIl@mi:t@
milliner	`mIl@n@
million	`mIlj@n
mills	mIlz
mime	mAem
mimic	`mImIk
mince	mIns
mincemeat	`mInsmi:t
mind	mAend
mindful	`mAendf@l
mindless	`mAendl@s
mine	mAen
miner	`mAen@
mineral	`mIn@r\@l
mingle	`mINg@l
miniature	`mIn@tS@
minimal	`mIn@m@l
minimum	`mIn@m@m
minister	`mIn@st@
minor	`mAen@
minority	mAe`nOr\@ti:
mint	mInt
minus	`mAen@s
minute	mAe`nj}:t
miracle	`mIr\@k@l
mirage	m@`r\6:Z
mire	`mAe@
mirror	`mIr\@
mirth	m3:T
misadventure	mIs@d`ventS@
misbehave	mIsb@`h{Iv
miscarriage	mIs`k{r\IdZ
miscellaneous	mIs@`l{Ini:@s
mischief	`mIstS@f
misdemeanour	mIsd@`mi:n@
miser	`mAez@
miserable	`mIzr\@b@l
misery	`mIz@r\i:
misfortune	mIs`fo:tS@n
mishap	`mIsh{p
mislay	mIs`l{I
mislead	mIs`li:d
miss	mIs
missile	`mIsAel
missing	`mIsIN
mission	`mIS@n
missionary	`mIS@nr\i:
mist	mIst
mistake	m@`st{Ik
mistaken	m@`st{Ik@n
mistress	`mIstr\@s
misunderstand	mIs6nd@`st{nd
mitigate	`mIt@g{It
mitten	`mIt@n
mix	mIks
mix-up	`mIks6p
mixed-up	`mIkst6p
mixture	`mIkstS@
mnemonic	n@`mOnIk
moan	m@}n
moat	m@}t
mob	mOb
mobile	`m@}bAel
mobilise	`m@}b@lAez
mock	mOk
modal	`m@}d@l
mode	m@}d
model	`mOd@l
moderate	`mOd@r\@t
modern	`mOd@n
modest	`mOd@st
modify	`mOd@fAe
module	`mOdZ}:l
moist	moIst
molar	`m@}l@
mole	m@}l
molecule	`mOl@kj}:l
molest	m@`lest
molten	`m@}lt@n
moment	`m@}m@nt
momentary	`m@}:m@ntr\i:
momentous	m@`ment@s
monarch	`mOn6:k
monastery	`mOn@str\i:
Monday	`m6nd{I
money	`m6ni:
mongrel	`m6Ngr\@l
monitor	`mOn@t@
monk	m6Nk
monkey	`m6Nki:
mono	`mOn@}
monogamy	m@`nOg@mi:
monogram	`mOn@gr\{m
monolith	`mOn@lIT
monologue	`mOn@lOg
monopoly	m@`nOp@li:
monotonous	m@`nOt@n@s
monotreme	`mOn@tr\i:m
monsoon	mOn`s}:n
monster	`mOnst@
monstrous	`mOnstr\@s
month	m6nT
monument	`mOnj@m@nt
monumental	mOnj@`ment@l
mood	m}:d
moody	`m}:di:
moon	m}:n
moor	mo:
mooring	`mo:r\IN
mop	mOp
mope	m@}p
moral	`mOr\@l
morale	m@`r\6:l
moratorium	mOr\@`to:r\i:@m
morbid	`mo:b@d
more	mo:
moreover	mo:r\`@}v@
morgue	mo:g
mornay	`mo:n{I
morning	`mo:nIN
moron	`mo:r\On
morose	m@`r\@}s
morphine	`mo:fi:n
morsel	`mo:s@l
mortal	`mo:t@l
mortality	mo:`t{l@ti:
mortar	`mo:t@
mortgage	`mo:gIdZ
mortified	`mo:t@fAed
mortuary	`mo:tS@r\i:
mosaic	m@}`z{IIk
mosque	mOsk
moss	mOs
most	m@}st
mostly	`m@}stli:
motel	m@}`tel
mother	`m6D@
mother-in-law	`m6D@r\Inlo:
mother-of-pearl	m6D@r\@v`p3:l
motif	m@}`ti:f
motion	`m@}S@n
motivate	`m@}t@v{It
motive	`m@}tIv
motor	`m@}t@
motorbike	`m@}t@bAek
motorcycle	`m@}t@sAek@l
motorist	`m@}t@r\@st
mottled	`mOt@ld
motto	`mOt@}
mould	m@}ld
moult	m@}lt
mound	m{Ond
mount	m{Ont
mountain	`m{Ont@n
mountaineer	m{Ont@`nI@
mourn	mo:n
mouse	m{Os
mousse	m}:s
moustache	m@`st6:S
mousy	`m{Osi:
mouth	m{OT
mouth-watering	`m{OTwo:t@r\IN
move	m}:v
moved	m}:vd
movement	`m}:vm@nt
movie	`m}:vi:
mow	m@}
mown	m@}n
MP	em`pi:
Mr	`mIst@
Mrs	`mIs@z
MS	em`es
Ms	mIz
MSG	emes`dZi:
much	m6tS
muck	m6k
mucus	`mj}:k@s
mud	m6d
muddle	`m6d@l
mudguard	`m6dg6:d
muesli	`mj}:zli:
muffin	`m6f@n
muffler	`m6fl@
mug	m6g
muggy	`m6gi:
mulch	m6ltS
mulga	`m6lg@
mull	m6l
multicultural	m6lti:`k6ltS@r\@l
multimedia	m6lti:`mi:di:@
multinational	m6lti:`n{S@n@l
multiple	`m6lt@p@l
multiple-choice	`m6lt@p@ltSoIs
multiply	`m6lt@plAe
multiracial	m6lti:`r\{IS@l
multitude	`m6lt@tS}:d
mum	m6m
mumble	`m6mb@l
mummy	`m6mi:
mumps	m6mps
munch	m6ntS
mundane	m6n`d{In
municipality	mj}:nIs@`p{l@ti:
mural	`mj}:r\@l
murder	`m3:d@
murky	`m3:ki:
murmur	`m3:m@
muscle	`m6s@l
museum	mj}:`zi:@m
mush	m6S
mushroom	`m6Sr\}:m
music	`mj}:zIk
musical	`mj}:zIk@l
musk	m6sk
must	m6st
mustard	`m6st@d
muster	`m6st@
musty	`m6sti:
mutate	mj}:`t{It
mute	mj}:t
mutilate	`mj}:t@l{It
mutiny	`mj}:t@ni:
mutter	`m6t@
mutton	`m6t@n
mutual	`mj}:tS}:@l
muzzle	`m6z@l
my	mAe
myopia	mAe`@}pi:@
myriad	`mIr\i:@d
myself	mAe`self
mysterious	m@s`tI@r\i:@s
mystery	`mIstr\i:
mystic	`mIstIk
mystify	`mIst@fAe
myth	mIT
mythology	m@`TOl@dZi:
N	en
n	en
N/A	en`{I
nag	n{g
nail	n{Il
naive	nAe`i:v
naked	`n{Ik@d
name	n{Im
nap	n{p
napkin	`n{pk@n
nappy	`n{pi:
narcotic	n6:`kOtIk
narration	n@`r\{IS@n
narrative	`n{r\@tIv
narrow	`n{r\@}
nasal	`n{Iz@l
nasty	`n6:sti:
nation	`n{IS@n
national	`n{S@n@l
nationalise	`n{S@n@lAez
nationalism	`n{S@n@lIzm
native	`n{ItIv
natter	`n{t@
natty	`n{ti:
natural	`n{tS@r\@l
naturalised	`n{tS@r\@lAezd
nature	`n{ItS@
naughty	`no:ti:
nausea	`no:zi:@
navel	`n{Iv@l
navigate	`n{v@g{It
navy	`n{Ivi:
