'em	@ m
Burry Port	' b 6 r\ - I - p o: t
Burscough	' b @@ s - k @}
Burton-upon-Trent	' b @@ t n - @ p - O n - ' t r\ e n t
Burundi	' b U r\ - ' U n d - i:
Burundian	' b U r\ - ' U n d - i@ n
Burundians	' b U r\ - ' U n d - i@ n z
Bury	' b e r\ - i:
Bury St. Edmunds	' b e r\ - I - s n t - ' e d - m @ n z
Busch	' b }: S
Bushman	' b 6 S - m @ n
Bushmen	' b 6 S - m @ n
Buthelezi	b U t - @ l - ' {I z - i:
Buxton	' b 6 k - s t @ n
Byrd	' b @@ d
Byrne	b @@ n
C	' s i:
C of E	' s i: - @ v - ' i:
C's	' s i: z
C-in-C	' s i: - I n s - ' i:
CBI	' s i: b - ' i: - ' Ae
CD	' s i: d - ' i:
CIA	' s I - ' Ae - ' {I
CID	' s i: - ' Ae d - ' i:
CO	' s i: - ' @}
COD	' s i: - @} d - ' i:
CPOP	' s i: p - O p
Cabernet	' k { b - @ n - {I
Cablevision	' k {I b - @ v - ' I Z - @ n
Cabrera	k @ b - ' r\ e r\ - @
Cadillac	' k { d - @ l - { k
Cadiz	' k @ d - ' I z
Cadogan	k @ d - ' @} g - @ n
Caen	' k {I n
Caerleon	' k 6: l - ' i: - @ n
Caernarfon	' k @ n - ' 6: v - @ n
Caerphilly	' k @ f - ' I l - i:
Caesar	' s i: z - @ r\
Caesarian	' s I z - ' e@ r\ - i@ n
Caesars	' s i: z - @ z
Cafe	' k { f - ' {I
Cagliari	' k { l j - ' 6: r\ - i:
Cairo	' k Ae r\ - @}
Cajun	' k {I dZ - @ n
Calcutta	' k { l k - ' 6 t - @
Caldicot	' k o: l d - I k - O t
Cali	' k 6: l - i:
California	' k { l - I f - ' o: n - i@
Californian	' k { l - I f - ' o: n - i@ n
Californians	' k { l - I f - ' o: n - i@ n z
Callahan	' k { l - @ h - { n
Calloway	' k { l - @ w - {I
Calne	' k 6: n
Calor	' k { l - @
Caltech	' k { l t - e k
Caltrans	' k { l t - r\ { n s
Calvaries	' k { l v - @ r\ - I z
Calvary	' k { l v - @ r\ - i:
Calverton	' k { l v - @ t - @ n
Calvin	' k { l v - @ n
Calvinism	' k { l v - I n - I z - @ m
Calvinist	' k { l v - I n - I s t
Calvinists	' k { l v - I n - I s t s
Cambodia	' k { m b - ' @} d - i@
Cambodian	' k { m b - ' @} d - i@ n
Cambodians	' k { m b - ' @} d - i@ n z
Cambourne	' k { m b - o: n
Cambridge	' k {I m b - r\ I dZ
Cambridgeshire	' k {I m b - r\ I dZ - S @ r\
Cambuslang	' k { m b - @ s - l { N
Camden	' k { m d - @ n
Camelot	' k { m - @ l - O t
Camembert	' k { m - @ m b - e@ r\
Camemberts	' k { m - @ m b - e@ z
Cameroon	' k { m - @ r\ - ' }: n
Cameroonian	' k { m - @ r\ - ' }: n - i@ n
Cameroonians	' k { m - @ r\ - ' }: n - i@ n z
Camille	k { m - ' i: l
Campbell	' k { m b - @ l
Campbeltown	' k { m b - @ l t - au n
Canaan	' k {I n - @ n
Canada	' k { n - @ d - @
Canadian	' k @ n - ' {I d - i@ n
Canadians	' k @ n - ' {I d - i@ n z
Cananea	k @ n - ' { n - i@
Canberra	' k { n b - @ r\ - @
Cancer	' k { n s - @ r\
Candela	k @ n d - ' e l - @
Canelo	k @ n - ' e l - @}
Cannes	' k { n
Cannock	' k { n - @ k
Cantab	' k { n t - { b
Canterbury	' k { n t - @ b - r\ i:
Canton	' k { n t - ' O n
Canuck	' k @ n - ' U k
Canucks	' k @ n - ' U k s
Canvey	' k { n v - i:
Canvey Island	' k { n v - I - ' Ae l - @ n d
Capcom	' k { p - k O m
Cape Town	' k {I p - t au n
Capel	k { p - ' e l
Capitol	' k { p - I t l
Capitols	' k { p - I t l z
Capone	k @ p - ' @} n
Capriati	k { p - r\ I - ' { t - i:
Capricorn	' k { p - r\ I k - o: n
Capt	' k { p t
Caracas	' k @ r\ - ' { k - @ s
Cardenden	' k 6: d n d - @ n
Cardiff	' k 6: d - I f
Cardigan	' k 6: d - I g - @ n
Caribbean	' k { r\ - @ b - ' i: - @ n
Carl	' k 6: l
Carlisle	' k 6: l - ' Ae l
Carlos	' k 6: l - @ s
Carlow	' k 6: l - @}
Carluke	' k 6: l - ' }: k
Carmarthen	' k @ m - ' 6: D - @ n
Carmelite	' k 6: m - @ l - Ae t
Carmelites	' k 6: m - @ l - Ae t s
Carnegie	k { r\ - ' n {I g - i:
Carnforth	' k 6: n f - @ T
Carnoustie	' k 6: n - ' }: s - t i:
Carol	' k { r\ - @ l
Carolco	' k { r\ - @ l k - @}
Carole	' k { r\ - @ l
Carolina	' k { r\ - @ l - ' Ae n - @
Carolinas	' k { r\ - @ l - ' Ae n - @ s
Caroline	' k { r\ - @ l - Ae n
Carolyn	' k { r\ - @ l - I n
Carr	' k 6:
Carrie	' k { r\ - i:
Carron	' k { r\ - @ n
Carruthers	k 6: r\ - ' 6 T - @@ z
Cartagena	' k 6: t - @ dZ - ' i: n - @
Casablanca	' k { s - @ b - ' l { N k - @
Castleford	' k 6: s l f - @ d
Catalan	' k { t - @ l - { n
Catania	' k @ t - ' {I n - i@
Cath	' k { T
Cathay	' k { T - ' {I
Catherine	' k { T - r\ I n
Catholic	' k { T - l I k
Catholicism	' k @ T - ' O l - I s - i: z m
Catholics	' k { T - l I k s
Cathy	' k { T - i:
Caucasian	' k o: k - ' {I z - i@ n
Caucasians	' k o: k - ' {I z - i@ n z
Cavan	' k { v - @ n
Cdr	' k @ m - ' 6: n d - @ r\
Cdre	' k O m - @ d - o: r\
Ceausescu	tS au tS - ' e s - k }:
Cecil	' s e s l
Cecilia	' s I s - ' i: l - i@
Cecily	' s e s - @ l - i:
Cedric	' s e d - r\ I k
Cefn-mawr	' k e f n - ' m au r\
Celia	' s i: l - i@
Celsius	' s e l s - i@ s
Celt	' k e l t
Celtic	' k e l t - I k
Celtics	' k e l t - I k s
Celts	' k e l t s
CenTrust	' s e n - t r\ 6 s t
Cesar	' s i: s - @ r\
Cesarean	' s I z - ' e@ r\ - i@ n
Ceylon	' s I l - ' O n
Cezanne	s e z - ' { n
Chad	' tS { d
Chadian	' tS { d - i@ n
Chadians	' tS { d - i@ n z
Chalfont	' tS { l f - @ n t
Chalfont St Giles	' tS { l f - @ n t - s n t - ' dZ Ae l z
Chalfont St Peter	' tS { l f - @ n t - s n t - ' p i: t - @ r\
Chamorro	tS @ m - ' O r\ - @}
Chang	' tS { N
Changchun	' tS { N tS - ' U n
Changsha	' tS { N S - ' 6:
Chard	' tS 6: d
Charles	' tS 6: l z
Charleston	' tS 6: l s - t @ n
Charlestons	' tS 6: l s - t @ n z
Charlie	' tS 6: l - i:
Charlotte	' S 6: l - @ t
Charpentier	S { r\ p - ' e n t - I - {I
Chartism	' tS 6: t - I z - @ m
Chartist	' tS 6: t - I s t
Chartists	' tS 6: t - I s t s
Charybdis	' k @ r\ - ' I b - d I s
Chas	' tS { z
Chatham	' tS { t - @ m
Chavez	' S { v - @ z
Chavira	S { v - ' i: r\ - @
Cheadle	' tS i: d l
Cheddar	' tS e d - @ r\
Cheers	' tS i@ z
Chelmsford	' tS e l m z f - @ d
Chelsea	' tS e l s - i:
Cheltenham	' tS e l t - n @ m
Chelyabinsk	' tS I l - i@ b - ' I n s k
Chen	' tS e n
Cheney	' tS {I n - i:
Chengchow	' tS e N tS - ' au
Chengtu	' tS e N t - ' }:
Chepstow	' tS e p - s t @}
Cher	' S e r\
Chesham	' tS e S - @ m
Cheshire	' tS e S - @ r\
Chester	' tS e s - t @ r\
Chester-le-Street	' tS e s - t @ - l I - ' s t r\ i: t
Chesterfield	' tS e s - t @ f - i: l d
Chevrolet	' S e v - r\ @ l - {I
Chevy	' S e v - i:
Chez	' S e z
Chi	' k Ae
Chianti	' k I - ' { n t - i:
Chicago	' S I k - ' 6: g - @}
Chichester	' tS I tS - I s - t @ r\
Chile	' tS I l - i:
Chilean	' tS I l - i@ n
Chileans	' tS I l - i@ n z
China	' tS Ae n - @
Chinchow	' tS I n tS - ' au
Chinese	' tS Ae n - ' i: z
Chippendale	' tS I p - @ n d - {I l
Chippendales	' tS I p - @ n d - {I l z
Chippenham	' tS I p - n @ m
Chiron	' tS Ae r\ - O n
Chivas	' tS i: v - @ s
Chloe	' k l @} - i:
Chopin	' S @} p - { n
Chopwell	' tS O p - w I l
Chorley	' tS o: l - i:
Chris	' k r\ I s
Chrissie	' k r\ I s - i:
Chrissy	' k r\ I s - i:
Christ	' k r\ Ae s t
Christchurch	' k r\ Ae s - tS @@ tS
Christendom	' k r\ I s n d - @ m
Christendoms	' k r\ I s n d - @ m z
Christian	' k r\ I s - tS @ n
Christianity	' k r\ I s - t I - ' { n - I t - i:
Christians	' k r\ I s - tS @ n z
Christina	' k r\ I s - ' t i: n - @
Christine	' k r\ I s - t i: n
Christlike	' k r\ Ae s - l Ae k
Christmas	' k r\ I s - m @ s
Christmas-box	' k r\ I s - m @ s - b O k s
Christmas-boxes	' k r\ I s - m @ s - b O k - s I z
Christmas-tree	' k r\ I s - m @ s - t r\ i:
Christmas-trees	' k r\ I s - m @ s - t r\ i: z
Christmases	' k r\ I s - m @ s - I z
Christmastide	' k r\ I s - m @ s - t Ae d
Christmastides	' k r\ I s - m @ s - t Ae d z
Christmastime	' k r\ I s - m @ s - t Ae m
Christmastimes	' k r\ I s - m @ s - t Ae m z
Christopher	' k r\ I s - t @ f - @ r\
Chrysler	' k r\ Ae s - l @@
Chua	' tS w {
Chungking	' tS U N k - ' I N
Cincinnati	' s I n s - I n - ' { t - i:
Cinderella	' s I n d - @ r\ - ' e l - @
Cinderellas	' s I n d - @ r\ - ' e l - @ z
Cinderford	' s I n d - @ f - @ d
Cineplex	' s I n - @ p - l e k s
Cione	s I - ' @} n - i:
Cirencester	' s Ae r\ - @ n s - e s - t @ r\
Citicorp	' s I t - i: - ' k o: p
CityFed	' s I t - i: f - ' e d
Civvy Street	' s I v - I - s t r\ i: t
Clackmannon	' k l { k - ' m { n - @ n
Clacton	' k l { k - t @ n
Clare	' k l e@ r\
Clarence	' k l { r\ - @ n s
Clarkston	' k l 6: k - s t @ n
Clarrie	' k l { r\ - i:
Classics	' k l { s - I k s
Claud	' k l o: d
Claude	' k l o: d
Clay Cross	' k l {I - ' k r\ O s
Cleator Moor	' k l i: t - @ - ' m u@ r\
Cleethorpes	' k l i: T - o: p s
Clem	' k l e m
Clement	' k l e m - @ n t
Clermont-Ferrand	' k l e@ m - O N - f e r\ - ' O N
Clevedon	' k l i: v - d @ n
Cleveland	' k l i: v - l @ n d
Cliff	' k l I f
Clifford	' k l I f - @ d
Clitheroe	' k l I D - @ r\ - @}
Clive	' k l Ae v
Clowne	' k l au n
Clwyd	' k l }: - I d
Clydach	' k l I d - { k
Clydebank	' k l Ae d - b { N k
Co	' k @}
Co-op	' k @} - ' O p
Coalville	' k @} l v - I l
Coatbridge	' k @} t - b r\ I dZ
Cobham	' k O b - @ m
Coburg	' k @} b - @@ g
Coca-Cola	' k @} k - @ - ' k @} l - @
Coca-Colas	' k @} k - @ - ' k @} l - @ z
Cockermouth	' k O k - @ m - @ T
Cocom	' k @} k - ' O m
Codsall	' k O d s - @ l
Cohen	' k @} - e n
Coimbatore	' k o: - I m b - @ t - ' o: r\
Col	' k @@ n l
Colchester	' k O l tS - e s - t @ r\
Coleshill	' k @} l z h - I l
Colin	' k O l - I n
Coll	' k O l - I dZ
Colne	' k @} n
Colo	' k O l - @}
Cologne	' k @ l - ' @} n
Colombia	' k @ l - ' O m b - i@
Colombian	' k @ l - ' O m b - i@ n
Colombians	' k @ l - ' O m b - i@ n z
Colombo	' k @ l - ' O m b - @}
Colorado	' k O l - @ r\ - ' 6: d - @}
Columbia	' k @ l - ' 6 m b - i@
Columbus	' k @ l - ' 6 m b - @ s
Colwyn Bay	' k O l w - I n - ' b {I
Comex	' k O m - e k s
Compaq	' k O m p - ' { k
Conan	' k O n - @ n
Conant	' k O n - @ n t
Confucian	' k @ n f - ' j }: S - @ n
Confucians	' k @ n f - ' j }: S - @ n z
Cong	' k O N
Congleton	' k O N g l t - @ n
Congo	' k O N g - @}
Congolese	' k O N g - @ l - ' i: z
Congregational	' k O N g - r\ I g - ' {I S - @ n - @ l
Coniston	' k O n - @ s - t @ n
Conn	' k O n
Connah's Quay	' k O n - @ z - ' k i:
Connaught	' k O n - o: t
Connecticut	' k @ n - ' e t - I k - @ t
Conner	' k O n - @@
Connery	' k O n - @ r\ - i:
Connie	' k O n - i:
Cons	' k O n s
Consett	' k O n s - I t
Constance	' k O n s - t @ n s
Constantine	' k O n s - t @ n t - i: n
Contel	' k O n t - e l
Conwy	' k O n w - {I
Cookham	' k U k - @ m
Cooperman	' k }: p - @@ m - { n
Coors	' k u@ r\ z
Copenhagen	' k @} p - @ n h - ' {I g - @ n
Copernican	' k @ p - ' @@ n - I k - @ n
Coppull	' k O p - @ l
Copt	' k O p t
Coptic	' k O p - t I k
Coptics	' k O p - t I k s
Copts	' k O p t s
Corby	' k o: b - i:
Cordoba	' k o: d - @ b - @
Corinthian	' k @ r\ - ' I n T - i@ n
Corinthians	' k @ r\ - ' I n T - i@ n z
Cork	' k o: k
Cornelius	k O r\ - ' n i: l - I - @ s
Cornell	k o: n - ' e l
Cornwall	' k o: n w - o: l
Corp	' k o: p
Corps Diplomatique	' k o: - ' d I p - l @ m - { t - ' i: k
Corr	' k O r\
Corry	' k O r\ - i:
Corsham	' k o: S - @ m
Corunna	' k @ r\ - ' 6 n - @
Cosenza	' k @ s - ' e n z - @
Costa Rica	' k O s - t @ - ' r\ i: k - @
Costa Rican	' k O s - t @ - ' r\ i: k - @ n
Costa Ricans	' k O s - t @ - ' r\ i: k - @ n z
Costello	k O s - ' t e l - ' @}
Courbet	' k o: b - {I
Courter	' k o: t - @@
Coventry	' k O v n t - r\ i:
Cowdenbeath	' k au d - @ n b - ' i: T
Cowes	' k au z
Cpl	' k o: p - r\ @ l
Cramlington	' k r\ { m - l I N t - @ n
Crawley	' k r\ o: l - i:
Creole	' k r\ i: - @} l
Creoles	' k r\ i: - @} l z
Cres	' k r\ e z
Creswell	' k r\ e s - w I l
Crete	' k r\ i: t
Crewe	' k r\ }:
Crieff	' k r\ i: f
Crimea	k r\ Ae m - ' i: - @
Cristiani	k r\ I s - t i: - ' { n - i:
Croatia	k r\ @} - ' {I S - i@
Croatian	k r\ @} - ' {I S - @ n
Croatians	k r\ @} - ' {I S - @ n z
Croats	' k r\ O - { t s
Croesus	' k r\ i: s - @ s
Cromer	' k r\ @} m - @ r\
Crook	' k r\ U k
Crosby	' k r\ O s - b i:
Crowborough	' k r\ @} b - @ r\ - @
Crowe	' k r\ @}
Crowthorne	' k r\ @} T - o: n
Croydon	' k r\ oI d - @ n
Cruz	' k r\ }: z
Cuba	' k j }: b - @
Cuban	' k j }: b - @ n
Cubans	' k j }: b - @ n z
Cudworth	' k 6 d - w @ T
Cuffley	' k 6 f - l i:
Culcheth	' k 6 l tS - @ T
Cumberland	' k 6 m b - @ l - @ n d
Cumbernauld	' k 6 m b - @ n - o: l d
Cumbria	' k 6 m b - r\ i@
Cumnock	' k 6 m - n @ k
Cuomo	' k }: m - @}
Cupar	' k }: p - @ r\
Cupertino	k }: p - @ t - ' i: n - @}
Cupid	' k j }: p - I d
Curitiba	' k u@ r\ - I t - ' i: b - @
Currie	' k 6 r\ - i:
Cwmbran	' k }: m b - ' r\ 6: n
Cyclopean	' s Ae k - ' l @} p - i@ n
Cynthia	' s I n T - i@
Cyprian	' s I p - r\ i@ n
Cypriot	' s I p - r\ i@ t
Cypriots	' s I p - r\ i@ t s
Cyprus	' s Ae p - r\ @ s
Cyril	' s I r\ - @ l
Cyrillic	' s I r\ - ' I l - I k
Czech	' tS e k
Czechoslovak	' tS e k - @} s - ' l @} v - { k
Czechoslovakia	' tS e k - @} s - l @ v - ' { k - i@
Czechoslovakian	' tS e k - @} s - l @ v - ' { k - i@ n
Czechoslovakians	' tS e k - @} s - l @ v - ' { k - i@ n z
Czechoslovaks	' tS e k - @} s - ' l @} v - { k s
Czechs	' tS e k s
D	' d i:
D's	' d i: z
D-day	' d i: - d {I
DDT	' d i: d - ' i: t - ' i:
DES	' d i: - ' i: - ' e s
DG	' d i: dZ - ' i:
DIY	' d i: - ' Ae w - ' Ae
DJ	' d i: dZ - ' {I
DJs	' d i: dZ - ' {I z
DLitt	' d i: l - ' I t
DM	' d oI tS - m 6: k
DNA	' d i: - ' e n - ' {I
DPhil	' d i: f - ' I l
DSS	' d i: - ' e s - ' e s
DSc	' d i: - ' e s - ' s i:
DTI	' d i: t - ' i: - ' Ae
DTs	' d i: t - ' i: z
DaPuzzo	d @ p - ' }: z - @}
Dacca	' d { k - @
Daewoo	' d {I w - }:
Dahmer	' d 6: m - @ r\
Dai	' d Ae
Dail Eireann	' d oI l - ' e@ r\ - @ n
Daisy	' d {I z - i:
Daiwa	' d Ae w - {
Dakar	' d { k - @ r\
Dakota	' d @ k - ' @} t - @
Daley	' d {I l - i:
Dali	' d { l - i:
Dalkeith	' d { l k - ' i: T
Dallas	' d { l - @ s
Dalry	' d { l r\ - ' Ae
Dalton	' d O l t n
Damascus	' d @ m - ' { s - k @ s
Damocles	' d { m - @ k - l i: z
Dan	' d { n
Dane	' d {I n
Danes	' d {I n z
Daniel	' d 6: n - i@ l
Danielle	d { n - I - ' e l
Daniels	' d 6: n - i@ l z
Danish	' d {I n - I S
Danny	' d { n - i:
Dante	' d 6: n t - {I
Danube	' d { n j - }: b
Daphne	' d { f - n i:
Darby	' d 6: b - i:
Darenth	' d { r\ - @ n T
Darfield	' d 6: f - i: l d
Darkey	' d 6: k - i:
Darkeys	' d 6: k - I z
Darkie	' d 6: k - i:
Darkies	' d 6: k - I z
Darky	' d 6: k - i:
Darlington	' d 6: l - I N t - @ n
Darmstadt	' d 6: m s - t { t
Dartford	' d 6: t - f @ d
Dartmoor	' d 6: t - m u@ r\
Dartmouth	' d 6: t - m @ T
Darwen	' d 6: w - I n
Darwin	' d 6: w - I n
Daryl	' d { r\ - @ l
Dataproducts	' d {I t - @ - ' p r\ O d - 6 k t s
Dave	' d {I v
Daventry	' d { v - I n t - r\ i:
Davey	' d {I v - i:
David	' d {I v - I d
Davidson	' d {I v - I d s - @ n
Davis	' d {I v - I s
Dawley	' d o: l - i:
Dawlish	' d o: l - I S
Dawn	' d o: n
Dayton	' d {I t n
DeConcini	d @ k - O n tS - ' i: n - i:
DeWitt	d @ w - ' I t
Deal	' d i: l
Dean	' d i: n
Debbie	' d e b - i:
Debby	' d e b - i:
Deborah	' d e b - @ r\ - @
Dec	' d e k
Decalogue	' d e k - @ l - O g
Decalogues	' d e k - @ l - O g z
December	' d I s - ' e m b - @ r\
Decembers	' d I s - ' e m b - @ z
Deirdre	' d i@ d - r\ i:
Delaware	' d e l - @ w - e@ r\
Delhi	' d e l - i:
Della	' d e l - @
Delmed	' d e l m - ' e d
Deloitte	' d e l - oI t
Delors	d @ l - ' o: r\ z
Delphic	' d e l f - I k
Denain	' d @ n - ' {I n
Denbigh	' d e n b - i:
Denis	' d e n - I s
Denise	' d @ n - ' i: z
Denmark	' d e n - m 6: k
Dennis	' d e n - I s
Denny	' d e n - i:
Denver	' d e n v - @ r\
Dept	' d I p - ' 6: t - m @ n t
Derby	' d 6: b - i:
Derbyshire	' d 6: b - I S - @ r\
Dereham	' d i@ r\ - @ m
Derek	' d e r\ - I k
Des	' d e z
Deseret	' d e s - e r\ - I t
Desmond	' d e z - m @ n d
Dessau	' d e s - au
Detrex	' d e t - r\ e k s
Detroit	' d I t - ' r\ oI t
Deutsche	' d oI t - tS @
Deutschmark	' d oI tS - m 6: k
Deutschmarks	' d oI tS - m 6: k s
Devizes	' d I v - ' Ae z - I z
Devon	' d e v n
Devonshire	' d e v - @ n S - @ r\
Dewsbury	' d j }: z - b @ r\ - i:
Dhabi	' d 6: b - i:
Di	' d Ae
Diana	' d Ae - ' { n - @
Diane	d Ae - ' { n
Diaspora	' d Ae - ' { s - p @ r\ - @
Diasporas	' d Ae - ' { s - p @ r\ - @ z
Dick	' d I k
Dicky	' d I k - i:
Dictaphone	' d I k - t @ f - @} n
Dictaphones	' d I k - t @ f - @} n z
Didcot	' d I d k - @ t
Diego	d I - ' {I g - @}
Dietrich	' d i: t - r\ I k
Dijon	' d i: Z - O N
Dingell	' d I N - @ l
Dingle	' d I N g l
Dinnington	' d I n - I N t - @ n
Diogenes	d Ae - ' o: dZ - @ n - i: z
Dip	' d I p
Dip Ed	' d I p - ' e d
Dir	' d I r\ - ' e k - t @ r\
Disney	' d I z - n i:
Disneyland	' d I z - n i: l - { n d
Dives	' d Ae v - i: z
Djibouti	' dZ I b - ' }: t - i:
Djiboutian	' dZ I b - ' }: t - i@ n
Djiboutians	' dZ I b - ' }: t - i@ n z
Dmitri	d @ m - ' i: t - r\ i:
Dnepropetrovsk	' n I p - ' r\ O p - I t - ' r\ O f s k
DoE	' d i: - ' @} - ' i:
Dolly	' d O l - i:
Domesday	' d }: m z - d {I
Dominic	' d O m - I n - i: k
Dominica	' d @ m - ' I n - I k - @
Dominican	' d @ m - ' I n - I k - @ n
Dominicans	' d @ m - ' I n - I k - @ n z
Don	' d O n
Donahue	' d O n - @ h - j }:
Donald	' d O n l d
Donaldson	' d O n - @ l d s - @ n
Doncaster	' d O N k - { s - t @ r\
Donegal	' d O n - I g - o: l
Donetsk	' d @ n - ' e t s k
Donoghue	' d O n - @ h - j }:
Dont	' d @} n t
Donuts	' d @} n - 6 t s
Doomsday	' d }: m z - d {I
Dora	' d o: r\ - @
Dorchester	' d o: tS - I s - t @ r\
Dordrecht	' d o: d - r\ I k t
Doreen	' d o: r\ - i: n
Doric	' d O r\ - I k
Doris	' d O r\ - I s
Dorking	' d o: k - I N
Dorothy	' d O r\ - @ T - i:
Dorset	' d o: s - I t
Dortmund	' d o: t - m @ n d
Dou	' d @}
Douai	' d }: - {I
Doubleday	' d 6 b - @ l d - {I
Doug	' d 6 g
Douglas	' d 6 g - l @ s
Dover	' d @} v - @ r\
Down	' d au n
Downing Street	' d au n - I N - s t r\ i: t
Dr	' d O k - t @ r\
Drabinsky	d r\ { b - ' I n s - k i:
Drayton	' d r\ {I t n
Drebber	' d r\ e b - @ r\
Dresden	' d r\ e z - d @ n
Drexel	' d r\ e k - s @ l
Dreyfus	' d r\ {I f - @ s
Dreyfuss	' d r\ {I f - @ s
Driffield	' d r\ I f - i: l d
Drogheda	' d r\ oI - I d - @
Droitwich	' d r\ oI t - w I tS
Dronfield	' d r\ O n f - i: l d
Druid	' d r\ }: - I d
Druids	' d r\ }: - I d z
Du	d }:
Duarte	d U - ' 6: t - @
Dubai	d }: b - ' Ae
Dublin	' d 6 b - l I n
Dubliner	' d 6 b - l I n - @ r\
Dubliners	' d 6 b - l I n - @ z
Duce	' d }: tS - {I
Dudley	' d 6 d - l i:
Duisburg	' d }: s - b @@ g
Dukakis	d @ k - ' { k - @ s
Dukinfield	' d 6 k - I n f - i: l d
Dumas	' d }: m - { s
Dumbarton	' d 6 m b - ' 6: t n
Dumfries	' d 6 m f - ' r\ i: s
Dun Laoghaire	' d 6 n - ' l i@ r\ - i:
Duncan	' d 6 n k - @ n
Dundalk	' d 6 n d - ' o: k
Dundee	' d 6 n d - ' i:
Dunfermline	' d 6 n f - ' @@ m - l I n
Dunkirk	' d 6 n k - ' @@ k
Dunoon	' d 6 n - ' }: n
Dunstable	' d 6 n s - t @ b l
Durban	' d @@ b - @ n
Durham	' d 6 r\ - @ m
Durrington	' d 6 r\ - I N t - @ n
Dursley	' d @@ z - l i:
Dushanbe	d @ S - ' { n b - @
Dusseldorf	' d 6 s l d - o: f
Dutch	' d 6 tS
Dutchman	' d 6 tS - m @ n
Dutchmen	' d 6 tS - m @ n
Duvalier	d U v - ' { l - I - {I
Dyfed	' d 6 v - I d
Dylan	' d I l - @ n
E	' i:
E's	' i: z
EC	' i: s - ' i:
EDP	' i: d - ' i: p - ' i:
EEC	' i: - ' i: s - ' i:
EEG	' i: - ' i: dZ - ' i:
EFTA	' e f - t @
ESP	' i: - ' e s - ' p i:
Eagleburger	' i: g - @ l b - @@ g - @ r\
Eaglescliffe	' i: g l z k - l I f
Ealing	' i: l - I N
Earl Shilton	' @@ l - ' S I l t n
Easington	' i: z - I N t - @ n
East Dereham	' i: s t - ' d i@ r\ - @ m
East Grinstead	' i: s t - ' g r\ I n s - t I d
East Kilbride	' i: s t - k I l b - ' r\ Ae d
East Retford	' i: s t - ' r\ e t - f @ d
Eastbourne	' i: s - b o: n
Easter	' i: s - t @ r\
Easters	' i: s - t @ z
Eastleigh	' i: s - t l i:
Eaton	' i: t - @ n
Ebbw Vale	' e b - U - ' v {I l
Eccles	' e k l z
Eco	' i: k - @}
Ecuador	' e k - w @ d - o: r\
Ecuadorian	' e k - w @ d - ' o: r\ - i@ n
Ecuadorians	' e k - w @ d - ' o: r\ - i@ n z
Ed	' e d
Eddie	' e d - i:
Eddy	' e d - i:
Edelman	' {I d - @ l m - @ n
Eden	' i: d n
Edenbridge	' i: d n b - r\ I dZ
Edgar	' e d - g @ r\
Edinburgh	' e d - I n b - r\ @
Edith	' i: d - I T
Edmund	' e d - m @ n d
Eduard	' e d - w 6: d
Eduardo	e d - ' w 6: d - @}
Edward	' e d - w @ d
Edwardian	' I d - ' w o: d - i@ n
Edwardians	' I d - ' w o: d - i@ n z
Egon	' i: g - O n
Egremont	' e g - r\ I m - O n t
Egypt	' i: dZ - I p t
Egyptian	' I dZ - ' I p - S @ n
Egyptians	' I dZ - ' I p - S @ n z
Ehrenreich	' e r\ - @ n r\ - I k
Ehrlich	' e r\ - l I k
Eiche	' Ae k - @
Eileen	' Ae l - i: n
Eindhoven	' Ae n d h - O v n
Einhorn	' Ae n h - o: n
Einstein	' Ae n s - t Ae n
Eisenhower	' Ae s - @ n h - au - @ r\
Eisner	' Ae s - n @ r\
El Dorado	' e l - d @ r\ - ' 6: d - @}
El Dorados	' e l - d @ r\ - ' 6: d - @} z
El Salvador	' e l - ' s { l v - @ d - o: r\
Elaine	' I l - ' {I n
Elastoplast	' I l - ' { s - t @ p - ' l 6: s t
Elderslie	' e l d - @ z - l i:
Eleanor	' e l - @ n - @ r\
Elena	e l - ' {I n - @
Elgin	' e l g - I n
Eli	' i: l - Ae
Elias	' e l - I - @ s
Eliot	' e l - I - O t
Eliza	' I l - ' Ae z - @
Elizabeth	' I l - ' I z - @ b - @ T
Elizabethan	' I l - ' I z - @ b - ' i: T n
Elizabethans	' I l - ' I z - @ b - ' i: T n z
Elland	' e l - @ n d
Ellen	' e l - @ n
Ellesmere	' e l z - m i@ r\
Ellesmere Port	' e l z - m i@ - ' p o: t
Ellie	' e l - i:
Ellington	' e l - I N t - @ n
Elliott	' e l - i: - I t
Ellis	' e l - I s
Elloughton	' e l - @ t - @ n
Elsie	' e l s - i:
Elstree	' e l s - t r\ i:
Ely	' i: l - i:
Elysian	' I l - ' I z - i@ n
Elysium	' I l - ' I z - i@ m
Emhart	' e m h - 6: t
Emilio	e m - ' i: l - I - @}
Emily	' e m - l i:
Emma	' e m - @
Emsworth	' e m z - w @ T
Enfield	' e n f - i: l d
Engelken	' e N g - @ l k - e n
England	' I N g - l @ n d
English	' I N g - l I S
Englishman	' I N g - l I S - m @ n
Englishmen	' I N g - l I S - m @ n
Englishwoman	' I N g - l I S - w U m - @ n
Englishwomen	' I N g - l I S - w I m - I n
Enoch	' i: n - O k
Enschede	' e n s - k @ d - i:
Entartete	' e n t - 6: t - e t
Epiphany	' I p - ' I f - @ n - i:
Epping	' e p - I N
Epsom	' e p - s @ m
Erbamont	' e r\ - b @ m - O n t
Erfurt	' e@ f - @@ t
Eric	' e r\ - i: k
